scorer,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000
bodyparts,right hand,right hand,right hand,left hand,left hand,left hand,right ear,right ear,right ear,left ear,left ear,left ear,nose,nose,nose
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,918.58047747612,694.2231624126434,0.04274848476052284,963.8431583344936,688.2009596824646,0.9997087121009827,785.1004164218903,539.103255212307,0.9998231530189514,1013.7451187372208,551.7726874351501,0.999987006187439,938.8190596103668,621.2165058851242,0.6947060823440552
1,919.4584846496582,694.1429398059845,0.06585118174552917,963.0514813065529,689.2387928962708,0.998538613319397,787.7541535049677,535.6408877372742,0.999984622001648,1012.9699280261993,549.7126023769379,0.9999992847442627,938.7059388160706,624.8847005367279,0.33441102504730225
2,926.0409450531006,704.6466994285583,0.03566860035061836,960.855682849884,692.3059543967247,0.9976770281791687,785.5415906906128,535.233357667923,0.9998015761375427,1011.6277666687965,549.734005689621,1.0,933.6941635608673,626.507355093956,0.9940189123153687
3,917.6813313961029,705.9430284500122,0.39824625849723816,950.4673504829407,700.3834030032158,0.059979479759931564,781.9244186878204,538.4711310863495,0.9998119473457336,1010.6825740337372,550.7757616043091,1.0,930.5238794088364,625.3954970836639,0.9999982118606567
4,918.8912987709045,708.3955352902412,0.12658235430717468,951.1539790630341,702.741587638855,0.6067080497741699,783.9560403823853,535.0526309013367,0.9998291730880737,1010.8760633468628,551.400642156601,0.9999998807907104,928.4925842285156,624.3606457710266,0.9993495345115662
5,918.6083507537842,708.1914180517197,0.28244027495384216,951.981059551239,704.2897243499756,0.9534385800361633,784.7290146350861,534.443733215332,0.9999814033508301,1011.2229731678963,556.0720852091908,0.9999998807907104,931.6905218660831,613.954109787941,1.0
6,918.4648661613464,708.3041180670261,0.5389258861541748,950.7473633289337,702.8371460437775,0.9218825697898865,784.9359564781189,534.1964461803436,0.9999842643737793,1011.3893587589264,556.6614274978638,0.9999998807907104,929.720760345459,611.4426053762436,1.0
7,915.535035431385,704.4692006111145,0.8258663415908813,949.7988040447235,700.6484211683273,0.9961501359939575,786.968388915062,532.5666055083275,0.999843955039978,1012.7590713500977,555.7998339235783,0.9999998807907104,929.0449573993683,612.0970598757267,1.0
8,914.1228115558624,705.0309624671936,0.9988749623298645,952.4266443252563,702.5333824157715,0.9596608877182007,787.3629957437515,531.7326090633869,0.9999954700469971,1013.5954873561859,554.942946434021,0.9999998807907104,928.0162971019745,611.528975635767,0.9999992847442627
9,987.280908703804,706.9236183166504,0.9999990463256836,994.0513246059418,706.2978801727295,0.01584920659661293,786.8480225801468,531.5037411153316,0.9999985694885254,1013.391298532486,554.5337133407593,1.0,925.3841819763184,614.885066986084,0.9999853372573853
10,920.674024105072,704.707855463028,0.9999713897705078,974.0967397689819,701.540496468544,0.9996901750564575,788.5944078564644,531.3003838062286,0.9999997615814209,1014.3971600532532,554.2373732328415,0.9999998807907104,927.4330053329468,612.6570504903793,0.9999305009841919
11,926.9342834949493,706.6052023172379,0.9997184872627258,963.9171453341842,700.8731766939163,0.9999716281890869,789.4404263496399,530.6212992668152,0.9999998807907104,1016.1780872344971,554.2366236448288,0.9999995231628418,927.4024093151093,617.1326749324799,0.9993591904640198
12,922.5238599777222,703.7241859436035,0.9998791217803955,961.6125884056091,696.791522026062,0.9999157190322876,790.5935182571411,531.5448485016823,0.9999997615814209,1016.9028768539429,553.493584394455,0.9999995231628418,928.5453510284424,613.3785336017609,0.9999972581863403
13,919.0451414585114,700.9970507025719,0.9998194575309753,957.5085308551788,694.83429646492,0.9995013475418091,794.0932958126068,528.6892635822296,0.9999991655349731,1019.5059693753719,551.9827327728271,0.9999994039535522,929.3996968269348,610.4734822511673,1.0
14,896.1761264801025,695.1245412826538,0.992731511592865,942.3751690387726,699.9038400053978,0.9635313749313354,795.8712328374386,527.8685088157654,0.9999470710754395,1022.8234300613403,551.0457479953766,0.9999998807907104,927.2401700019836,610.5588784217834,0.9999995231628418
15,883.1191922426224,662.0889844894409,1.0,927.8139443397522,703.5393369197845,0.9215822219848633,801.8089189529419,518.3484809398651,0.9990602135658264,1024.6390299797058,551.6321091651917,0.9999998807907104,954.6422291994095,611.0648878216743,0.9999997615814209
16,893.5815869569778,667.3141086697578,0.9473922848701477,949.355168223381,614.1919853687286,0.0022068216931074858,802.515007853508,519.6349613666534,0.999761164188385,1025.927085161209,551.5358834266663,0.9999998807907104,954.933256983757,610.8691929578781,0.999997615814209
17,896.8255479335785,678.4163715839386,0.9913526177406311,954.0614153146744,611.5655691623688,0.0013412672560662031,800.9710028171539,521.8603086471558,0.9998773336410522,1024.3800134658813,554.987943649292,1.0,954.6654894351959,608.3774843215942,0.9999961853027344
18,897.2300200462341,680.0140147209167,0.9613459706306458,1023.7423782348633,556.606359243393,0.0004896076279692352,799.1544132232666,522.4271125793457,0.9999405145645142,1022.3662846088409,550.771523475647,1.0,955.3600611686707,605.0466072559357,0.9998200535774231
19,896.280508518219,691.5404676795006,0.8163600564002991,1031.324830532074,550.0106518268585,0.0003276773786637932,795.5086678862572,525.9714117050171,0.9995139837265015,1023.8418614864349,550.0525546073914,1.0,956.2563900053501,603.3566954731941,0.7630963921546936
20,894.529926776886,698.3397598266602,0.9996925592422485,796.9821184873581,531.3527563810349,0.0002602397871669382,795.2696969509125,525.5022382736206,0.9999405145645142,1025.7621984481812,548.284158885479,1.0,948.5303028225899,593.2455749511719,0.915214478969574
21,894.0701041221619,706.1944341659546,0.9999511241912842,944.6816320419312,593.5332806110382,0.0005796387558802962,793.5140924453735,525.4529514312744,0.999975323677063,1027.5113128125668,547.2797073125839,1.0,945.0939695835114,585.645599603653,0.99992835521698
22,894.8383314609528,707.832386225462,0.9990668892860413,939.2004645466805,579.1445252895355,0.0020507690496742725,793.9921889305115,524.1135763600469,0.999980092048645,1028.6239405870438,546.74784886837,1.0,941.8682731389999,577.8289165496826,0.999913215637207
23,894.1632044315338,711.8712437152863,0.9934319853782654,938.0283430814743,577.6013376712799,0.0002766024263110012,791.1271178722382,523.9298535138369,0.9999995231628418,1023.7230024337769,539.0970292687416,0.9999996423721313,932.7345178127289,567.9347240924835,0.9868528246879578
24,896.0921840667725,722.985778927803,0.9984884262084961,782.1969518661499,530.937982916832,0.00033457097015343606,784.686431646347,522.9960405826569,0.9999994039535522,1019.4749401211739,535.7416319847107,0.9999998807907104,930.5621495246887,562.6501452922821,0.9996577501296997
25,895.8337144851685,726.0100834369659,0.9999988079071045,950.638688325882,779.0692954659462,0.003938866779208183,780.4999212920666,522.1171727180481,0.9999988079071045,1017.2026529312134,529.4897570610046,0.9999992847442627,929.6057569980621,551.0926661491394,0.9441448450088501
26,899.2280134558678,726.7568101882935,0.9999992847442627,981.6088334321976,688.7207109928131,0.9999582767486572,772.0500150956213,521.8505396842957,0.9999998807907104,1008.654280424118,522.6042711734772,1.0,931.2460500597954,549.6811418533325,0.4434422552585602
27,909.0569795370102,723.0875397324562,1.0,972.9323208332062,635.2739186286926,0.6027085781097412,769.664657831192,521.9659214019775,1.0,1005.6546471118927,520.0829591751099,0.9999998807907104,929.897659778595,545.963983297348,0.9942703247070312
28,917.0060914754868,720.4447050094604,0.9999984502792358,946.7453713417053,643.090490102768,0.6970330476760864,766.7774848937988,520.5063185691833,0.9999996423721313,1001.8951950073242,515.8049917817116,0.9999985694885254,895.1103813648224,538.943485379219,0.991661787033081
29,925.4670345783234,735.2460737228394,0.9966206550598145,928.0010356903076,660.1040412038565,0.9999291896820068,757.8409526348114,519.7021818161011,1.0,993.9652647972107,510.15200662612915,1.0,891.9474236518145,530.450564622879,1.0
30,930.0692579746246,748.0782367810607,0.980087161064148,926.8003919124603,671.0618119239807,0.999997615814209,754.6092450618744,521.6717610359192,1.0,988.9716385006905,504.72037744522095,0.9999998807907104,887.2024130821228,520.9751968383789,0.9999998807907104
31,932.117909155786,763.6318058371544,0.88970947265625,924.0983557552099,684.7402975559235,0.9999386072158813,749.5566321611404,521.5711765289307,0.9999997615814209,987.8980476260185,504.39778089523315,0.9999998807907104,889.1403770446777,517.8250049352646,1.0
32,932.9066961407661,774.5148355960846,0.0508258156478405,924.6401932239532,699.3474792838097,0.9998986721038818,749.2440898418427,518.5548453330994,0.9999998807907104,987.856361925602,505.9317774772644,0.9999998807907104,889.7018432617188,517.0843710899353,1.0
33,928.7030379772186,789.1373300552368,0.9728250503540039,918.9099986553192,710.9844958782196,0.999940037727356,751.9411659240723,513.5896499156952,0.9999995231628418,989.9739599227905,506.1517459154129,0.9999997615814209,889.3890099525452,515.7540763169527,1.0
34,899.0206952095032,795.3746445775032,0.9094597101211548,909.9434010982513,728.19704246521,0.9999779462814331,758.0809345245361,501.8167610168457,0.9999873638153076,993.5937917232513,505.5393109321594,1.0,889.5814712047577,513.886803150177,1.0
35,852.1521016359329,716.5806903839111,0.5086506605148315,899.5368545353413,736.521026134491,0.9999558925628662,762.0838304758072,499.26920479536057,0.9999979734420776,997.7940224409103,507.5432519316673,1.0,887.1194822788239,512.0780696868896,0.9999972581863403
36,830.9984683990479,632.4628705978394,1.0,882.8719593286514,745.0749015808105,0.9999837875366211,765.8419177532196,494.44374895095825,0.9999991655349731,1004.5206147432327,512.1579055786133,0.9999998807907104,916.6679012179375,512.0429241657257,0.9506974220275879
37,852.6465965509415,601.4571855068207,0.9999983310699463,866.3264136314392,750.6941328048706,0.9999896287918091,768.4311707019806,488.4357838630676,0.9999995231628418,1004.98196798563,513.0806324481964,0.9999997615814209,909.7221211194992,487.5604000091553,0.9268295168876648
38,878.4581398963928,618.2361378669739,0.9999923706054688,860.1045571416616,758.413729429245,0.999984860420227,768.5029079914093,484.2857589125633,1.0,1006.9086227416992,512.4993641376495,1.0,910.5143492221832,484.11199344694614,0.9997432827949524
39,878.237868309021,630.3876543045044,1.0,853.0780057907104,766.3857598304749,0.9999732971191406,770.6648753881454,480.4156291484833,0.9999996423721313,1008.6744499206543,508.3378950059414,1.0,908.8832084536552,479.6386454105377,0.9024405479431152
