scorer,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000
bodyparts,right ear,right ear,right ear,left ear,left ear,left ear
coords,x,y,likelihood,x,y,likelihood
0,784.516539812088,541.55268907547,1.0,1013.3060036897659,555.1553227901459,0.9998655319213867
1,785.3927099704742,539.9954731026664,1.0,1011.2407553792,556.2774677276611,0.9999929666519165
2,785.3374271392822,539.6606720089912,1.0,1009.4791734218597,555.1949018836021,0.9999910593032837
3,785.6535303592682,538.0529203414917,1.0,1009.2908380031586,555.1461178660393,0.999993085861206
4,785.3598330020905,537.8436970710754,1.0,1009.4925496578217,556.0074399085715,0.9999947547912598
5,784.5628569126129,537.8056311607361,1.0,1009.337455034256,556.0179514698684,0.9999974966049194
6,784.5787372589111,537.4252519607544,1.0,1008.9476931095123,556.236279040575,0.9999967813491821
7,785.1368288993835,533.7181258201599,1.0,1009.3603558540344,555.206337928772,0.9999984502792358
8,786.5040626525879,532.2844481766224,1.0,1011.540974766016,553.8944606781006,0.9999994039535522
9,787.1853019595146,532.8760980963707,1.0,1012.0240527242422,553.3272144794464,0.9999983310699463
10,789.100422501564,533.9184203147888,1.0,1012.7577186822891,554.8927161693573,0.999903678894043
11,789.8359446525574,534.5324332714081,1.0,1013.0422195196152,554.1220313310623,0.9999765157699585
12,791.2178168296814,533.5837097167969,1.0,1017.4754207134247,561.0790417194366,0.9999929666519165
13,792.0236368179321,530.7202967405319,1.0,1019.9301528185606,560.5458116531372,0.9999957084655762
14,794.7328743934631,529.2670001983643,1.0,1022.2709836959839,555.8128472864628,0.9999113082885742
15,798.8711743354797,529.1086077690125,0.9999998807907104,1026.2035820484161,561.9167673587799,0.9886652231216431
16,800.2030165195465,525.374345779419,0.9999998807907104,1025.7337341308594,554.820944070816,0.9960736036300659
17,800.6119012832642,525.1345096826553,0.9999998807907104,1024.6333665847778,560.3664841651917,0.9999606609344482
18,798.2937607765198,525.2111014127731,0.9999997615814209,1023.6651725769043,553.3551182746887,0.9961974620819092
19,797.3778809309006,524.771317243576,0.9999998807907104,1022.4414868354797,547.0276924967766,0.9999195337295532
20,797.4724608659744,523.1584157943726,0.9999998807907104,1022.8932447433472,546.333512544632,0.9997984766960144
21,796.8767296075821,523.6182217597961,0.9999998807907104,1025.7710664272308,552.3258850574493,0.9995490908622742
22,796.0762231424451,523.7185821533203,0.9999998807907104,1024.133050918579,546.5720654726028,0.9996155500411987
23,793.6815540790558,523.2140302658081,0.9999998807907104,1022.1360015869141,543.1434555053711,0.9999537467956543
24,786.4176416397095,524.2154500484467,1.0,1016.0785193443298,536.3961486816406,0.9999707937240601
25,780.0391673222184,521.1452131271362,1.0,1013.2765353918076,530.2384507656097,0.9999877214431763
26,774.9787793159485,520.3677453994751,1.0,1007.6301488876343,523.1353317499161,0.9999905824661255
27,771.8019050657749,519.0270931720734,1.0,996.8192749619484,509.60301446914673,0.9999921321868896
28,767.5707528591156,516.8548796772957,1.0,998.4590055942535,514.2952029705048,0.9999992847442627
29,759.8951525688171,517.3908133506775,1.0,991.6114420890808,507.97302001155913,0.9999969005584717
30,755.0579180717468,517.8438484668732,1.0,990.7260808944702,508.49983099102974,0.9999889135360718
31,751.3320958614349,517.1346220970154,1.0,988.3845766484737,506.54837226867676,0.9999985694885254
32,749.3062514066696,516.3135662972927,1.0,987.241164803505,506.90305531024933,0.9999986886978149
33,750.246031999588,513.7576961517334,1.0,990.3646764755249,506.9034357070923,0.9999954700469971
34,754.8543964624405,508.35045233368874,0.9999998807907104,996.4391101002693,511.58755445480347,0.9999992847442627
35,757.8186777830124,499.4605722427368,1.0,1000.6091637611389,513.9201078414917,0.999862790107727
36,765.2625679969788,490.7077112197876,0.9999998807907104,1007.2935552597046,514.1145296096802,0.9997523427009583
37,766.7236087322235,490.38570976257324,1.0,1005.7342233657837,508.99420273303986,0.9991729855537415
38,766.432733297348,488.2971487045288,1.0,1006.5049524307251,514.9685190916061,0.9999576807022095
39,766.6927030086517,484.55377012491226,1.0,1009.0258512496948,509.92438757419586,0.9999983310699463
40,770.0299761295319,481.1113977432251,1.0,1012.6921718716621,509.3679382801056,0.999996542930603
41,770.1765928268433,480.18104219436646,1.0,1016.1145620346069,515.4968131780624,0.9999591112136841
42,769.7480220794678,481.1975622177124,1.0,1015.5787870883942,514.7880337238312,0.9998780488967896
43,764.4274779260159,484.1645381450653,1.0,1011.1084053516388,505.31240940093994,0.9999961853027344
44,761.4301497936249,483.0105031132698,1.0,1007.1834530830383,496.8921015262604,0.9999837875366211
45,752.6996788978577,484.78975307941437,1.0,998.0482923984528,481.71706557273865,0.9999990463256836
46,748.3660975396633,488.10617876052856,1.0,993.3008306026459,476.3463758826256,0.9999990463256836
47,745.0953385829926,489.19115257263184,1.0,992.5914506912231,477.4906882047653,0.9999995231628418
48,744.5066103935242,489.07753705978394,1.0,991.387553691864,478.1549346446991,0.9999995231628418
49,744.5687901973724,488.68289136886597,1.0,990.8894519805908,480.75657653808594,0.9999988079071045
50,744.0162925720215,488.29464530944824,1.0,992.3737182617188,482.29066479206085,0.9999954700469971
51,744.6674876213074,488.02552556991577,1.0,994.7202965021133,482.77678322792053,0.9999988079071045
